method,retained_fraction,retained,accuracy
J,0.1,30,0.5025125628140704
J,0.11,33,0.5025125628140703
J,0.12,36,0.5025125628140703
J,0.13,39,0.5025125628140703
J,0.13999999999999999,42,0.5025125628140704
J,0.14999999999999997,45,0.5025125628140703
J,0.15999999999999998,48,0.5025125628140704
J,0.16999999999999998,51,0.5025125628140703
J,0.17999999999999997,54,0.5025125628140704
J,0.18999999999999995,57,0.5025125628140703
J,0.19999999999999996,60,0.5025125628140704
J,0.20999999999999996,63,0.5025125628140703
J,0.21999999999999995,66,0.5025125628140703
J,0.22999999999999993,69,0.5025125628140704
J,0.23999999999999994,72,0.5025125628140703
J,0.24999999999999994,75,0.5025125628140703
J,0.2599999999999999,78,0.5025125628140703
J,0.2699999999999999,81,0.5025125628140704
J,0.2799999999999999,84,0.5025125628140704
J,0.2899999999999999,87,0.5025125628140703
J,0.29999999999999993,90,0.5025125628140703
J,0.3099999999999999,93,0.5025125628140704
J,0.3199999999999999,96,0.5025125628140704
J,0.3299999999999999,99,0.5025125628140703
J,0.33999999999999986,102,0.5025125628140703
J,0.34999999999999987,105,0.5025125628140703
J,0.3599999999999999,108,0.5025125628140704
J,0.3699999999999999,111,0.5025125628140703
J,0.3799999999999999,114,0.5025125628140703
J,0.38999999999999985,117,0.5025125628140703
J,0.39999999999999986,120,0.5025125628140704
J,0.40999999999999986,123,0.5025125628140704
J,0.4199999999999998,126,0.5025125628140703
J,0.4299999999999998,129,0.5025125628140703
J,0.43999999999999984,132,0.5025125628140703
J,0.44999999999999984,135,0.5025125628140704
J,0.45999999999999985,138,0.5025125628140704
J,0.4699999999999998,141,0.5025125628140704
J,0.4799999999999998,144,0.5025125628140703
J,0.4899999999999998,147,0.5025125628140703
J,0.4999999999999998,150,0.5025125628140703
J,0.5099999999999998,153,0.5025125628140703
J,0.5199999999999998,156,0.5025125628140703
J,0.5299999999999998,159,0.5025125628140704
J,0.5399999999999998,162,0.5025125628140704
J,0.5499999999999998,165,0.5025125628140704
J,0.5599999999999998,168,0.5025125628140704
J,0.5699999999999997,171,0.5025125628140703
J,0.5799999999999997,174,0.5025125628140703
J,0.5899999999999997,177,0.5025125628140703
J,0.5999999999999998,180,0.5025125628140703
J,0.6099999999999998,183,0.5025125628140703
J,0.6199999999999998,186,0.5025125628140704
J,0.6299999999999998,189,0.5025125628140704
J,0.6399999999999997,192,0.5025125628140704
J,0.6499999999999997,195,0.5025125628140703
J,0.6599999999999997,198,0.5025125628140703
J,0.6699999999999997,201,0.5013030087656953
J,0.6799999999999997,204,0.49953314659197007
J,0.6899999999999997,207,0.4978145847711065
J,0.6999999999999997,210,0.4961451247165533
J,0.7099999999999997,213,0.4945226917057903
J,0.7199999999999998,216,0.4929453262786596
J,0.7299999999999996,219,0.4914111763426832
J,0.7399999999999997,222,0.4904904904904905
J,0.7499999999999997,225,0.48987654320987656
J,0.7599999999999997,228,0.4892787524366472
J,0.7699999999999997,231,0.4935064935064935
J,0.7799999999999997,234,0.48717948717948717
J,0.7899999999999997,237,0.4810126582278481
J,0.7999999999999996,240,0.4821428571428571
J,0.8099999999999996,243,0.4832451499118166
J,0.8199999999999996,246,0.4823848238482385
J,0.8299999999999996,249,0.4819277108433735
J,0.8399999999999996,252,0.4801587301587302
J,0.8499999999999996,255,0.47843137254901963
J,0.8599999999999997,258,0.4806201550387597
J,0.8699999999999997,261,0.47701149425287354
J,0.8799999999999997,264,0.4734848484848485
J,0.8899999999999996,267,0.47191011235955055
J,0.8999999999999996,270,0.4703703703703704
J,0.9099999999999996,273,0.46886446886446886
J,0.9199999999999996,276,0.4673913043478261
J,0.9299999999999996,279,0.46953405017921146
J,0.9399999999999996,282,0.4645390070921986
J,0.9499999999999996,285,0.45964912280701753
J,0.9599999999999995,288,0.4548611111111111
J,0.9699999999999995,291,0.4536082474226804
J,0.9799999999999995,294,0.4489795918367347
J,0.9899999999999995,297,0.4478114478114478
J,0.9999999999999996,300,0.44333333333333336
S,0.1,30,0.8
S,0.11,33,0.7272727272727273
S,0.12,36,0.7222222222222222
S,0.13,39,0.6923076923076923
S,0.13999999999999999,42,0.6904761904761905
S,0.14999999999999997,45,0.6666666666666666
S,0.15999999999999998,48,0.6875
S,0.16999999999999998,51,0.6862745098039216
S,0.17999999999999997,54,0.6851851851851852
S,0.18999999999999995,57,0.6666666666666666
S,0.19999999999999996,60,0.6833333333333333
S,0.20999999999999996,63,0.6666666666666666
S,0.21999999999999995,66,0.6666666666666666
S,0.22999999999999993,69,0.6666666666666666
S,0.23999999999999994,72,0.6527777777777778
S,0.24999999999999994,75,0.64
S,0.2599999999999999,78,0.6538461538461539
S,0.2699999999999999,81,0.654320987654321
S,0.2799999999999999,84,0.6547619047619048
S,0.2899999999999999,87,0.6551724137931034
S,0.29999999999999993,90,0.6444444444444445
S,0.3099999999999999,93,0.6451612903225806
S,0.3199999999999999,96,0.6354166666666666
S,0.3299999999999999,99,0.6363636363636364
S,0.33999999999999986,102,0.6470588235294118
S,0.34999999999999987,105,0.6476190476190476
S,0.3599999999999999,108,0.6388888888888888
S,0.3699999999999999,111,0.6306306306306306
S,0.3799999999999999,114,0.6140350877192983
S,0.38999999999999985,117,0.6153846153846154
S,0.39999999999999986,120,0.6083333333333333
S,0.40999999999999986,123,0.5934959349593496
S,0.4199999999999998,126,0.5952380952380952
S,0.4299999999999998,129,0.5968992248062015
S,0.43999999999999984,132,0.5984848484848485
S,0.44999999999999984,135,0.5925925925925926
S,0.45999999999999985,138,0.5942028985507246
S,0.4699999999999998,141,0.5815602836879432
S,0.4799999999999998,144,0.5902777777777778
S,0.4899999999999998,147,0.5850340136054422
S,0.4999999999999998,150,0.5866666666666667
S,0.5099999999999998,153,0.5816993464052288
S,0.5199999999999998,156,0.5833333333333334
S,0.5299999999999998,159,0.5849056603773585
S,0.5399999999999998,162,0.5802469135802469
S,0.5499999999999998,165,0.5818181818181818
S,0.5599999999999998,168,0.5773809523809523
S,0.5699999999999997,171,0.5730994152046783
S,0.5799999999999997,174,0.5689655172413793
S,0.5899999999999997,177,0.5706214689265536
S,0.5999999999999998,180,0.5666666666666667
S,0.6099999999999998,183,0.5683060109289617
S,0.6199999999999998,186,0.5645161290322581
S,0.6299999999999998,189,0.5608465608465608
S,0.6399999999999997,192,0.5572916666666666
S,0.6499999999999997,195,0.5538461538461539
S,0.6599999999999997,198,0.5454545454545454
S,0.6699999999999997,201,0.5472636815920398
S,0.6799999999999997,204,0.5441176470588235
S,0.6899999999999997,207,0.5458937198067633
S,0.6999999999999997,210,0.5428571428571428
S,0.7099999999999997,213,0.539906103286385
S,0.7199999999999998,216,0.5324074074074074
S,0.7299999999999996,219,0.5342465753424658
S,0.7399999999999997,222,0.5315315315315315
S,0.7499999999999997,225,0.5288888888888889
S,0.7599999999999997,228,0.5263157894736842
S,0.7699999999999997,231,0.5238095238095238
S,0.7799999999999997,234,0.5213675213675214
S,0.7899999999999997,237,0.5189873417721519
S,0.7999999999999996,240,0.5125
S,0.8099999999999996,243,0.51440329218107
S,0.8199999999999996,246,0.5121951219512195
S,0.8299999999999996,249,0.5060240963855421
S,0.8399999999999996,252,0.503968253968254
S,0.8499999999999996,255,0.4980392156862745
S,0.8599999999999997,258,0.49612403100775193
S,0.8699999999999997,261,0.4942528735632184
S,0.8799999999999997,264,0.48863636363636365
S,0.8899999999999996,267,0.4868913857677903
S,0.8999999999999996,270,0.4888888888888889
S,0.9099999999999996,273,0.4835164835164835
S,0.9199999999999996,276,0.48188405797101447
S,0.9299999999999996,279,0.4767025089605735
S,0.9399999999999996,282,0.4716312056737589
S,0.9499999999999996,285,0.4666666666666667
S,0.9599999999999995,288,0.4618055555555556
S,0.9699999999999995,291,0.4570446735395189
S,0.9799999999999995,294,0.4523809523809524
S,0.9899999999999995,297,0.4478114478114478
S,0.9999999999999996,300,0.44333333333333336
R gate + S,0.1,30,0.9
R gate + S,0.11,33,0.9090909090909091
R gate + S,0.12,36,0.9166666666666666
R gate + S,0.13,39,0.9230769230769231
R gate + S,0.13999999999999999,42,0.9285714285714286
R gate + S,0.14999999999999997,45,0.9111111111111111
R gate + S,0.15999999999999998,48,0.8958333333333334
R gate + S,0.16999999999999998,51,0.8823529411764706
R gate + S,0.17999999999999997,54,0.8888888888888888
R gate + S,0.18999999999999995,57,0.8771929824561403
R gate + S,0.19999999999999996,60,0.8833333333333333
R gate + S,0.20999999999999996,63,0.8571428571428571
R gate + S,0.21999999999999995,66,0.8484848484848485
R gate + S,0.22999999999999993,69,0.8405797101449275
R gate + S,0.23999999999999994,72,0.8333333333333334
R gate + S,0.24999999999999994,75,0.8266666666666667
R gate + S,0.2599999999999999,78,0.8333333333333334
R gate + S,0.2699999999999999,81,0.8395061728395061
R gate + S,0.2799999999999999,84,0.8214285714285714
R gate + S,0.2899999999999999,87,0.8160919540229885
R gate + S,0.29999999999999993,90,0.8111111111111111
R gate + S,0.3099999999999999,93,0.8064516129032258
R gate + S,0.3199999999999999,96,0.8020833333333334
R gate + S,0.3299999999999999,99,0.797979797979798
R gate + S,0.33999999999999986,102,0.7843137254901961
R gate + S,0.34999999999999987,105,0.780952380952381
R gate + S,0.3599999999999999,108,0.7870370370370371
R gate + S,0.3699999999999999,111,0.7837837837837838
R gate + S,0.3799999999999999,114,0.7807017543859649
R gate + S,0.38999999999999985,117,0.7863247863247863
R gate + S,0.39999999999999986,120,0.7833333333333333
R gate + S,0.40999999999999986,123,0.7723577235772358
R gate + S,0.4199999999999998,126,0.7777777777777778
R gate + S,0.4299999999999998,129,0.7751937984496124
R gate + S,0.43999999999999984,132,0.7803030303030303
R gate + S,0.44999999999999984,135,0.7777777777777778
R gate + S,0.45999999999999985,138,0.7753623188405797
R gate + S,0.4699999999999998,141,0.7730496453900709
R gate + S,0.4799999999999998,144,0.7638888888888888
R gate + S,0.4899999999999998,147,0.7619047619047619
R gate + S,0.4999999999999998,150,0.7666666666666667
R gate + S,0.5099999999999998,153,0.7647058823529411
R gate + S,0.5199999999999998,156,0.7628205128205128
R gate + S,0.5299999999999998,159,0.7672955974842768
R gate + S,0.5399999999999998,162,0.7592592592592593
R gate + S,0.5499999999999998,165,0.7515151515151515
R gate + S,0.5599999999999998,168,0.75
R gate + S,0.5699999999999997,171,0.7426900584795322
R gate + S,0.5799999999999997,174,0.7298850574712644
R gate + S,0.5899999999999997,177,0.7231638418079096
R gate + S,0.5999999999999998,180,0.7111111111111111
R gate + S,0.6099999999999998,183,0.6994535519125683
R gate + S,0.6199999999999998,186,0.6935483870967742
R gate + S,0.6299999999999998,189,0.6825396825396826
R gate + S,0.6399999999999997,192,0.671875
R gate + S,0.6499999999999997,195,0.6615384615384615
R gate + S,0.6599999999999997,198,0.6515151515151515
R gate + S,0.6699999999999997,201,0.6417910447761194
R gate + S,0.6799999999999997,204,0.6323529411764706
R gate + S,0.6899999999999997,207,0.6231884057971014
R gate + S,0.6999999999999997,210,0.6142857142857143
R gate + S,0.7099999999999997,213,0.6056338028169014
R gate + S,0.7199999999999998,216,0.5972222222222222
R gate + S,0.7299999999999996,219,0.589041095890411
R gate + S,0.7399999999999997,222,0.581081081081081
R gate + S,0.7499999999999997,225,0.5733333333333334
R gate + S,0.7599999999999997,228,0.5657894736842105
R gate + S,0.7699999999999997,231,0.5584415584415584
R gate + S,0.7799999999999997,234,0.5555555555555556
R gate + S,0.7899999999999997,237,0.5485232067510548
R gate + S,0.7999999999999996,240,0.5458333333333333
R gate + S,0.8099999999999996,243,0.5390946502057613
R gate + S,0.8199999999999996,246,0.5365853658536586
R gate + S,0.8299999999999996,249,0.5301204819277109
R gate + S,0.8399999999999996,252,0.5238095238095238
R gate + S,0.8499999999999996,255,0.5176470588235295
R gate + S,0.8599999999999997,258,0.5116279069767442
R gate + S,0.8699999999999997,261,0.5057471264367817
R gate + S,0.8799999999999997,264,0.5
R gate + S,0.8899999999999996,267,0.4943820224719101
R gate + S,0.8999999999999996,270,0.4888888888888889
R gate + S,0.9099999999999996,273,0.48717948717948717
R gate + S,0.9199999999999996,276,0.48188405797101447
R gate + S,0.9299999999999996,279,0.4767025089605735
R gate + S,0.9399999999999996,282,0.4716312056737589
R gate + S,0.9499999999999996,285,0.4666666666666667
R gate + S,0.9599999999999995,288,0.4618055555555556
R gate + S,0.9699999999999995,291,0.4570446735395189
R gate + S,0.9799999999999995,294,0.4523809523809524
R gate + S,0.9899999999999995,297,0.4478114478114478
R gate + S,0.9999999999999996,300,0.44333333333333336
